row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
19860435013984,19860435013,1.5효소분말,코스맥스바이오(주),효소식품,식물성크림혼합분말. 밀식이섬유(고시형). 곡물발효효소분말. 치커리뿌리추출물. 프락토올리고당. 난소화성말토덱스트린(고시형),
1988023101281,19880231012,1.6mm 쫄면,대성F&D,숙면,밀가루. 정제소금. 혼합제제. 전분,
19550509001193,19550509001,1.6자연숙성양조간장,매일식품주식회사,양조간장,감초추출액. 효모추출액. 가쓰오부시추출액. 설탕. 다시마추출액. 주정. 양조간장원액,
1998034703717,19980347037,1.가당백앙금,복성 앤 푸드,조림류,백앙금. 설탕. 물엿. 말토덱스트린. 정제염,
200004430421071,20000443042,1/2 100아일랜드 드레싱,(주)원일식품,소스,정제수. 마요네즈. 크러쉬드토마토. 오이피클. 토마토케첩. 양파피클. 백설탕. 올리브피클. 레몬농축액. 드레싱베이스. 홍피망,
2006031126956,20060311269,1/2 복숭아허브티,(주) 빅솔반월공장,고형차,비타민 C. 복숭아엑기스분말. 구연산. 스테비올배당체. 백설탕. 프락토올리고당. 홍차추출분말,
20080309165440,20080309165,1/2 카페인 커피,롯데웰푸드(주)포승공장,커피,커피원두. 커피원두,
20190324434147,20190324434,1/2 하프 버터린,(주)오뚜기,마가린,합성향료. 합성향료. 합성향료. 혼합제제. 비타민D3. 비타민 A. d-토코페롤(혼합형). 구연산. 비타민B1라우릴황산염. 글리세린지방산에스테르. 글리세린지방산에스테르. 식품첨가물. 기타식물성유지. 주정. 혼합제제. 폴리글리세린축합리시놀레인산에스테르. 분말유크림. 정제소금. 버터. 해바라기유. 정제수. 글리세린지방산에스테르,
197202880023137,19720288002,1/2 하프딸기쨈,주식회사 오뚜기,잼,냉동딸기슬라이스. 말티톨시럽. 에리스리톨. 딸기농축액. 글루코노-δ-락톤. 아미드펙틴. 효소처리스테비아. 구연산. 정제수,
20010445055473,20010445055,1/2 하프마요네스,(주)오뚜기,마요네즈,콩기름(대두유). 난황액. 현미식초. 백설탕. 발효식초. 덱스트린. 정제염. 잔탄검. 식물성분해단백. 젖산. 향미유. 정제수. 변성전분. 글루코노-δ-락톤. 효모추출물. 레몬농축액,
197202880023136,19720288002,1/2 하프블루베리쨈,주식회사 오뚜기,잼,구연산삼나트륨. 효소처리스테비아. 구연산. 아미드펙틴. 블루베리농축액. 백설탕. 정제수. 에리스리톨. 말티톨시럽. 블루베리. 블루베리,
20010445055189,20010445055,1/2 하프케？,(주)오뚜기,토마토케첩,토마토페이스트. 정제수. 물엿. 발효식초. 정제염. 백설탕. 젖산. 잔탄검. 효모처리스테비아. 자몽농축액. 향신료039. 양파분말. 효모추출물,
2014052506884,20140525068,1/2나트륨솔트,어업회사법인케이솔트(주),가공소금,혼합제제. 젖산칼슘. 이산화규소. 혼합제제. 염화칼륨. 정제소금,
2006031126954,20060311269,1/2녹차라떼,(주) 빅솔반월공장,고형차,스윗앤스윗. 정제염. 녹차추출물분말(고시형). 너티. 가루톡차. 오라프티. 스테비올배당체. 덱스트린10. 백설탕,
2001044505535,20010445055,1/2하프마요,(주)오뚜기,소스,대두기름. 현미식초. 양조식초. 백설탕. 정제염. 발효식초. 덱스트린. 오렌지식이섬유. 잔탄검. 식물성분해단백. DL-알라닌. 정제포도당. 유장밀. 겨자분. 타마린드검. 시즈닝오일-1TG. 간장믹스. 감칠맛베이스. Multifect Go 1500L. 정제수. 난황액. 젖산,
2006031126955,20060311269,1/2홍차라떼,(주) 빅솔반월공장,고형차,홍차추출분말. 홍차추출분말. 말토덱스트린. 오라프티. 시너지. 생강엑기스분말. 생강엑기스. 덱스트린10. 정제염. 스윈앤스윗. 스테비올배당체. 덱스트린10. 백설탕,
2022077703940,20220777039,1/4쪽수박,행복한200프로주식회사,신선편의식품,수박열매,
197102750035144,19710275003,1/N 엔분의일 단팥빵,(주)샤니,빵류,마가린. 버터. 설탕. 정제수. 밀가루. 조림류. 탈지분유. 효모. 전란액. 곡류가공품. 기타가공품. 식품첨가물혼합제제. 합성향료. 식품첨가물혼합제제. 곡류가공품. 식품첨가물혼합제제. 기타가공품. 식품첨가물혼합제제. 곡류가공품. 정제소금. 식품첨가물혼합제제. 기타가공품. 곡류가공품,
20110364381141,20110364381,10% 코나 바닐라 마카다미아 향,(주)다익2공장,커피,커피원두. 마카다미아너트향,
20110364381140,20110364381,10% 코나 아일랜드 클래식 로스트,(주)다익2공장,커피,커피원두,
20190476035163,20190476035,100 % 국산 성주참외,(주)우양 청양2공장(뉴뜨레),과.채가공품,참외열매,
20030445042581,20030445042,100 % 유기농 스퀴즈 오렌지,(주)웰팜,과.채주스,오렌지착즙액,
20030445042604,20030445042,100 % 유기농 스퀴즈 포도,(주)웰팜,과.채주스,과채가공품,
2020045212371,20200452123,100 산양유 초유 단백질 식물성 프로틴 락토페린 분말,(주)디엠코리아,기타가공품,기타가공품. 산양유분말. 기타가공품,
